시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,휴무일,운영시간,주차 가능여부,입장(이용료)가격 정보,반려동물 동반 가능정보,반려동물 전용 정보,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,기본 정보_장소설명,애견 동반 추가 요금,최종작성일,image_url,nmap_url
문화의거리,반려동물업,반려동반여행,여행지,전라남도,순천시,행동,,81-12 번지,,,34.95471606,127.482993,,,전라남도 순천시 행동 81-12,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022.11.30,http://blogfiles.naver.net/MjAyMDA0MDZfMzYg/MDAxNTg2MTU5MTU1ODc1.5SZ5sczXyFNU0KdlZwq5s44muQDPw3ahElrdzVx1HZ4g.wiZPlBuIlQNUub5D_n5LHeoDxVfAx3xxazWo0YDLgVwg.JPEG.suncheonsi/1-2.jpg#1500x1000,https://map.naver.com/p/entry/place/33708008
문화휴식공원,반려동물업,반려동반여행,여행지,충청북도,청주시 청원구,오창읍,양청리,753 번지,오창공원로,311 번,36.71396886,127.423454,28120,충청북도 청주시 청원구 오창읍 오창공원로 311,충청북도 청주시 청원구 오창읍 양청리 753,043-201-8631,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022.11.30,,https://map.naver.com/p/entry/place/17806413
물골안랜드 애견피크닉,반려동물업,반려동반여행,카페,경기도,남양주시,수동면,입석리,534 번지,비룡로,945 번,37.71766177,127.3152,12029,경기도 남양주시 수동면 비룡로 945,경기도 남양주시 수동면 입석리 534,0507-1445-3340,https://happypuppy.modoo.at,매주 월요일,화~일 10:00~17:00,Y,10000원,Y,해당없음,모두 가능,제한사항 없음,Y,Y,애견카페,없음,2022.11.30,https://ldb-phinf.pstatic.net/20220912_224/1662962953512775s0_JPEG/KakaoTalk_20220912_145909145_07.jpg,https://map.naver.com/p/entry/place/1632404235
물맑음펜션,반려동물업,반려동반여행,펜션,경기도,남양주시,수동면,지둔리,53-23 번지,비룡로수자1길,76-15 번,37.71283783,127.306716,12028,경기도 남양주시 수동면 비룡로수자1길 76-15,경기도 남양주시 수동면 지둔리 53-23,031-592-9963,http://물맑음펜션.com,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수",없음,2022.11.30,https://ldb-phinf.pstatic.net/20200202_274/1580633315720yExRN_JPEG/l4enW5HRWG3OCzmy3_UmsV5B.jpg,https://map.naver.com/p/entry/place/1457743428
물의정원,반려동물업,반려동반여행,여행지,경기도,남양주시,조안면,진중리,95 번지,북한강로,398 번,37.55735394,127.313527,12281,경기도 남양주시 조안면 북한강로 398,경기도 남양주시 조안면 진중리 95,031-590-2783,https://www.nyj.go.kr/culture/276?action-value=275994&action=read,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022.11.30,https://ldb-phinf.pstatic.net/20150831_98/1441004890453hVIq7_JPEG/156769588041832_1.jpeg,https://map.naver.com/p/entry/place/35506762
물총새공원,반려동물업,반려동반여행,여행지,충청남도,천안시 서북구,불당동,,1643 번지,,,36.80902943,127.106342,31163,,충청남도 천안시 서북구 불당동 1643,041-521-2776,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022.11.30,,https://map.naver.com/p/entry/place/38720597
뮤지엄 산,반려동물업,반려동반여행,미술관,강원도,원주시,지정면,월송리,999-13 번지,오크밸리2길,260 번,37.41532774,127.82347,26357,강원도 원주시 지정면 오크밸리2길 260,강원도 원주시 지정면 월송리 999-13,033-730-9001,www.museumsan.org,매주 월요일,화~일 10:00~18:00,Y,19000원,N,해당없음,해당없음,해당없음,Y,Y,미술관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20230727_276/1690438671459c2bAY_JPEG/Ganzfeld_%282%29_copy.jpg,https://map.naver.com/p/entry/place/1676988333
미국마을,반려동물업,반려동반여행,여행지,경상남도,남해군,이동면,용소리,1616 번지,미국마을길,8 번,34.77983883,127.928942,52438,경상남도 남해군 이동면 미국마을길 8,경상남도 남해군 이동면 용소리 1616,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022.11.30,http://blogfiles.naver.net/20140727_90/bada3347_1406442574222QwmqO_JPEG/DSC_2316.JPG#900x600,https://map.naver.com/p/entry/place/19949288
미리벌민속박물관,반려동물업,반려동반여행,박물관,경상남도,밀양시,초동면,범평리,406 번지,초동중앙로,439 번,35.41891126,128.673899,50455,경상남도 밀양시 초동면 초동중앙로 439,경상남도 밀양시 초동면 범평리 406,055-391-2882,www.miribeol.org,연중무휴,"매일 하절기 09:00~19:00, 동절기 09:30~17:00",Y,6000원,N,해당없음,해당없음,해당없음,Y,Y,박물관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20150831_186/14410067841568thyj_JPEG/11620606_0.jpg,https://map.naver.com/p/entry/place/11620606
미메시스아트뮤지엄,반려동물업,반려동반여행,미술관,경기도,파주시,문발동,,499-3 번지,문발로,253 번,37.71664923,126.689097,10881,경기도 파주시 문발로 253,경기도 파주시 문발동 499-3,031-955-4100,www.mimesisart.co.kr,"매주 월, 화",수~일 10:00~18:00,Y,7000원,Y,해당없음,모두 가능,야외만 반려동물 동반 가능,Y,Y,미술관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20220622_77/1655877771362Amn3B_JPEG/%B9%CC%B8%DE%BD%C3%BD%BA%BE%C6%C6%AE%B9%C2%C1%F6%BE%F619.jpg,https://map.naver.com/p/entry/place/32520738
미사리경정공원,반려동물업,반려동반여행,여행지,경기도,하남시,신장동,,281 번지,미사대로,505 번,37.55362591,127.21323,12900,경기도 하남시 미사대로 505,경기도 하남시 신장동 281,031-790-8883,http://www.krace.or.kr/contents/company/mapMisariPage.do,연중무휴,"월~금 09:00~18:00, 토~일 09:00~19:00",Y,없음,Y,해당없음,소형,"목줄, 배변봉투",N,Y,공원,없음,2022.11.30,https://ldb-phinf.pstatic.net/20170912_264/1505205162379Ju7EY_JPEG/hySRhyVjSyGsQVk4n3runazn.jpg,https://map.naver.com/p/entry/place/13209409
미스터멍,반려동물업,반려동물식당카페,카페,경상북도,안동시,정상동,,122 번지,강남로,492 번,36.54828656,128.753412,36753,경상북도 안동시 강남로 492,경상북도 안동시 정상동 122,054-854-1259,https://www.instagram.com/mr_meongcafe/,매주 월요일,"화~금 10:30~20:00, 토~일 11:00~20:00",Y,8000원,Y,반려동물 전용,모두 가능,제한사항 없음,Y,Y,"애견카페, 호텔, 미용",없음,2022.11.30,https://ldb-phinf.pstatic.net/20240822_134/1724254075272rP4hi_JPEG/IMG_5244.jpeg,https://map.naver.com/p/entry/place/37089493
미악산,반려동물업,반려동반여행,여행지,제주특별자치도,서귀포시,동홍동,,산 7-1 번지,인정오름로,387-63 번,33.30056466,126.554208,63576,제주특별자치도 서귀포시 인정오름로 387-63,제주특별자치도 서귀포시 동홍동 산 7-1,064-760-4701,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500206,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022.11.30,http://blogfiles.naver.net/MjAxODAxMjBfOTMg/MDAxNTE2NDA4NjIzNDUz.bQEWUXnCM8RmG0ABtYSNxUMBm0psSna7jPBEfxcvg_4g.54MFTEC_wboXeEwY5qesW5jUDl83G7mM_d9Ooj4U-lsg.JPEG.eunpa7881/20180119_102124.jpg#900x450,https://map.naver.com/p/entry/place/17049338
미암박물관,반려동물업,반려동반여행,박물관,전라남도,담양군,대덕면,장산리,239 번지,장동길,76 번,35.25942429,127.021453,57380,전라남도 담양군 대덕면 장동길 76,전라남도 담양군 대덕면 장산리 239,061-381-1239,정보없음,매주 월요일,화~일 10:00~17:00,Y,없음,N,해당없음,해당없음,해당없음,Y,Y,박물관,없음,2022.11.30,,https://map.naver.com/p/entry/place/1652558769
미평산림욕장,반려동물업,반려동반여행,여행지,전라남도,여수시,미평동,,64-2 번지,,,34.77660389,127.709456,59624,,전라남도 여수시 미평동 산 64-2,,https://www.yeosu.go.kr/tour/leisure/walk/bonghwasan_exp_gil/,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022.11.30,,https://map.naver.com/p/entry/place/17285898
미호박물관,반려동물업,반려동반여행,박물관,경기도,남양주시,수석동,,3-1 번지,고산로126번길,15-2 번,37.59266233,127.180616,12268,경기도 남양주시 고산로126번길 15-2,경기도 남양주시 수석동 3-1,031-566-7377,www.mihomuseum.org,연중무휴,매일 10:00~20:00,Y,8000원,N,해당없음,해당없음,해당없음,Y,N,박물관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20231028_223/1698481034342po5BN_JPEG/1698477538963.jpg,https://map.naver.com/p/entry/place/35379264
민둥산,반려동물업,반려동반여행,여행지,강원도,정선군,남면,무릉리,412-5 번지,민둥산로,12 번,37.25487719,128.780798,26148,강원도 정선군 남면 민둥산로 12,강원도 정선군 남면 무릉리 412-5,1544-9053,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,소형,"목줄, 배변봉투",N,Y,관광지,없음,2022.11.30,https://ldb-phinf.pstatic.net/20150901_3/1441045691328NqLO5_JPEG/13491851_0.jpg,https://map.naver.com/p/entry/place/13491851
민머루해수욕장,반려동물업,반려동반여행,여행지,인천광역시,강화군,삼산면,매음리,878-5 번지,어류정길212번길,33 번,37.65288321,126.332635,23007,인천광역시 강화군 삼산면 어류정길212번길 33,인천광역시 강화군 삼산면 매음리 878-5,032-932-1882,http://minmeoru-beach.co.kr/,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022.11.30,https://ldb-phinf.pstatic.net/20190519_35/15582356211628zvqt_JPEG/ykDpWTcPjZ4iUitun-ZTc15G.jpg,https://map.naver.com/p/entry/place/11491705
밀알미술관,반려동물업,반려동반여행,미술관,서울특별시,강남구,일원동,,713 번지,일원로,90 번,37.48578186,127.082072,6350,서울특별시 강남구 일원로 90,서울특별시 강남구 일원동 713,02-3412-0061,www.milalmuseum.or.kr,전시공연에 따라 변동,매일 9:30~17:00,Y,변동,N,해당없음,해당없음,해당없음,Y,N,미술관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20200611_255/1591842852798jcLz9_JPEG/0eY8TmGQ7PeMZ8MkzmEPl_yq.jpg,https://map.naver.com/p/entry/place/19570302
밀양시립박물관,반려동물업,반려동반여행,박물관,경상남도,밀양시,교동,,480 번지,밀양대공원로,100 번,35.50296509,128.759364,50420,경상남도 밀양시 밀양대공원로 100,경상남도 밀양시 교동 480,055-359-6060,https://www.miryang.go.kr/msm,"1월1일, 설, 추석 당일, 매주 월요일",화~일 09:30~18:00,Y,1000원,Y,해당없음,모두 가능,야외만 반려동물 동반 가능,Y,Y,박물관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20221210_159/1670654943230uHb8i_JPEG/20220724_150009.jpg,https://map.naver.com/p/entry/place/11620566
밀양아리랑아트센터,반려동물업,반려동반여행,문예회관,경상남도,밀양시,교동,,487 번지,밀양대공원로,112 번,35.50442565,128.758515,50420,경상남도 밀양시 밀양대공원로 112,경상남도 밀양시 교동 487,055-359-4500,www.mycf.or.kr,매주 월요일,전시공연에 따라 변동,Y,변동,N,해당없음,해당없음,해당없음,Y,Y,문예회관,없음,2022.11.30,http://blogfiles.naver.net/MjAxNzEwMjZfMTg0/MDAxNTA4OTU1NjQ5OTQ3.3hU-XlfAM0a8fDvBBlSgQ-p2CTouZ9XZzggMqjA86TQg.o9U_n56LTLy1lsCTIl1n6W9rh0WNch55jpV3rGLgsR4g.JPEG.miryangsi/IMG_0955.JPG#5184x2912,https://map.naver.com/p/entry/place/36733421
밀크레페,반려동물업,반려동물식당카페,카페,전라남도,담양군,월산면,화방리,205-1 번지,담장로,67 번,35.33042215,126.967895,57312,전라남도 담양군 월산면 담장로 67,전라남도 담양군 월산면 화방리 205-1,,http://instagram.com/cafe_meal_crepe,연중무휴,매일 11:30~19:00,Y,변동,Y,해당없음,모두 가능,1층만 이용 가능,Y,Y,애견카페,없음,2022.11.30,https://ldb-phinf.pstatic.net/20241007_260/1728264948520PpcC3_PNG/IMG_2391.png,https://map.naver.com/p/entry/place/1088364115
밀크북,반려동물업,반려동물식당카페,카페,경기도,파주시,문발동,,532-3 번지,회동길,121 번,37.70751398,126.687581,10881,경기도 파주시 회동길 121,경기도 파주시 문발동 532-3,031-944-3966,정보없음,"설, 추석 당일",매일 09:00~19:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,애견카페,없음,2022.11.30,https://ldb-phinf.pstatic.net/20200102_240/1577923490186cvEN8_JPEG/ANiMEL55v-lRgSlWfp290lsQ.jpg,https://map.naver.com/p/entry/place/764565568
바다빛무지개펜션,반려동물업,반려동반여행,펜션,강원도,양양군,현남면,남애리,72-1 번지,매바위길,63 번,37.94045523,128.78819,25057,강원도 양양군 현남면 매바위길 63,강원도 양양군 현남면 남애리 72-1,033-671-1008,http://www.searainbow.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 이하,제한사항 없음,Y,Y,"애견 동반 펜션, 추가인원 20,000원","20,000원",2022.11.30,https://ldb-phinf.pstatic.net/20211218_45/1639761649598WMTXT_JPEG/20211209_171501.jpg,https://map.naver.com/p/entry/place/13476940
바다와펜션,반려동물업,반려동반여행,펜션,강원도,강릉시,사천면,사천진리,279-3 번지,해안로,1081 번,37.84538858,128.869317,25435,강원도 강릉시 사천면 해안로 1081,강원도 강릉시 사천면 사천진리 279-3,033-644-6223,http://바다와펜션.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,8kg 이하,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수","20,000원",2022.11.30,https://ldb-phinf.pstatic.net/20170110_93/1484016448600omxM9_JPEG/__1.jpg,https://map.naver.com/p/entry/place/13307010
바다정원,반려동물업,반려동물식당카페,카페,강원도,고성군,토성면,용촌리,75-36 번지,버리깨길,23 번,38.23143077,128.582883,24770,강원도 고성군 토성면 버리깨길 23,강원도 고성군 토성면 용촌리 75-36,0507-1409-1096,https://seasidegarden.co.kr/,연중무휴,매일 10:00~21:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,대형 애견카페,없음,2022.11.30,https://ldb-phinf.pstatic.net/20240423_201/1713844547129MLEVy_JPEG/0423%B9%D9%B4%D9%C1%A4%BF%F8%C0%FC%B0%E6%BA%B8%C1%A4%BB%E7%C1%F8%28%C0%FC%B1%EA%C1%D9X%29-%B9%E0%B1%E2%C1%B6%C0%FD%28%C0%FA%BF%EB%B7%AE%29.jpg,https://map.naver.com/p/entry/place/36952311
바람구름,반려동물업,반려동물식당카페,카페,대구광역시,남구,이천동,,197-5 번지,명덕로64길,26 번,35.85367944,128.604812,42433,대구광역시 남구 명덕로64길 26,대구광역시 남구 이천동 197-5,0507-1372-7696,http://instagram.com/bg_petcafe,매주 화요일,수~월 12:00~22:00,Y,변동,Y,반려동물 전용,모두 가능,제한사항 없음,Y,N,애견카페,없음,2022.11.30,https://ldb-phinf.pstatic.net/20210501_200/1619854413700Rm1Kq_JPEG/MB2vCHaogNqc7wA1UGG7SPAB.jpeg.jpg,https://map.naver.com/p/entry/place/1754364249
바람새마을,반려동물업,반려동반여행,여행지,경기도,평택시,고덕면,궁리,505-2 번지,새악길,43-62 번,37.0133246,127.020162,17924,경기도 평택시 고덕면 새악길 43-62,경기도 평택시 고덕면 궁리 505-2,031-663-5453,https://baramsae.modoo.at/,연중무휴,매일 09:00~18:00,Y,없음,Y,해당없음,소형,"목줄, 배변봉투",N,Y,관광지,없음,2022.11.30,https://ldb-phinf.pstatic.net/20191111_266/1573457101875gbYa1_JPEG/b5ps9cIeZrGnowU5IxxxmYyP.jpg,https://map.naver.com/p/entry/place/1862797535
바람의핫도그 거제본점,반려동물업,반려동물식당카페,카페,경상남도,거제시,남부면,다대리,424 번지,다대5길,13 번,34.7343713,128.630472,53334,경상남도 거제시 남부면 다대5길 13,경상남도 거제시 남부면 다대리 424,0507-1437-1169,https://www.instagram.com/baramhotdog/,연중무휴,매일 09:30~18:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,애견카페,없음,2022.11.30,https://naverbooking-phinf.pstatic.net/20230824_219/1692864277737HljOE_JPEG/%B7%B9%C0%CC%BE%EE_1.jpg,https://map.naver.com/p/entry/place/37849370
바우지움조각미술관,반려동물업,반려동반여행,미술관,강원도,고성군,토성면,원암리,289 번지,원암온천3길,37 번,38.21234555,128.51515,24768,강원도 고성군 토성면 원암온천3길 37,강원도 고성군 토성면 원암리 289,033-632-6632,www.bauzium.co.kr,매주 월요일,"화~일 하절기 10:00~18:00, 동절기10:00~17:30",Y,10000원,N,해당없음,해당없음,해당없음,Y,Y,미술관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20210714_286/1626239009201aRGQO_JPEG/y35tRyEUtndZRKoD8J4XCwJL.jpg,https://map.naver.com/p/entry/place/36845206
바잇미,반려동물업,반려동물식당카페,카페,서울특별시,강남구,신사동,,525-22 번지,논현로175길,101-3 번,37.52256677,127.021258,6028,서울특별시 강남구 논현로175길 101-3,서울특별시 강남구 신사동 525-22,070-7766-1824,https://www.instagram.com/cafe_biteme/,연중무휴,매일 12:00~21:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,애견카페,없음,2022.11.30,https://ldb-phinf.pstatic.net/20210803_217/1627973004435pNuqS_PNG/CserohKeV6MnY7msJuT48owv.png,https://map.naver.com/p/entry/place/1731612430
박물관 수,반려동물업,반려동반여행,박물관,대구광역시,수성구,범어동,,136-8 번지,국채보상로186길,79 번,35.86482862,128.634149,42021,대구광역시 수성구 국채보상로186길 79,대구광역시 수성구 범어동 136-8,053-744-5500,www.museumsoo.org,"법정공휴일, 매주 일요일","월~금 10:00~17:00, 토 10:00~17:00",Y,5000원,Y,해당없음,소형,안고 있어야 함,Y,Y,박물관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20150831_149/1441007898304tjgzY_JPEG/SUBMIT_1297254494240_19564174.jpg,https://map.naver.com/p/entry/place/19564174
박물관 휴르,반려동물업,반려동반여행,박물관,대구광역시,수성구,범어동,,136-33 번지,국채보상로186길,47 번,35.86605539,128.63323,42021,대구광역시 수성구 국채보상로186길 47,대구광역시 수성구 범어동 136-33,053-759-3902,https://museumhyur.modoo.at/,매주 월요일,화~일 10:00~19:00,Y,5000원,N,해당없음,해당없음,해당없음,Y,N,박물관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20230317_119/1679032220898TzBWp_PNG/%C1%A6%B8%F1_%BE%F8%C0%BD.png,https://map.naver.com/p/entry/place/1040766977
박물관은살아있다,반려동물업,반려동반여행,미술관,제주특별자치도,서귀포시,색달동,,2629 번지,중문관광로,42 번,33.25490055,126.40977,63535,제주특별자치도 서귀포시 중문관광로 42,제주특별자치도 서귀포시 색달동 2629,064-805-0888,www.alivemuseum.com/jeju/branch,매주 월요일,화~일 10:00~19:00,Y,14000원,N,해당없음,해당없음,해당없음,Y,Y,미술관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20230901_110/1693530744766TmmfY_JPEG/%B9%DA%B9%B0%B0%FC%C0%BA%BB%EC%BE%C6%C0%D6%B4%D9_%C8%AB%BA%B8%BB%E7%C1%F8_%282%29.JPG,https://map.naver.com/p/entry/place/34761905
박열의사기념관,반려동물업,반려동반여행,박물관,경상북도,문경시,마성면,오천리,95 번지,샘골길,44 번,36.68126678,128.135658,36922,경상북도 문경시 마성면 샘골길 44,경상북도 문경시 마성면 오천리 95,054-572-3396,www.parkyeol.com/,"1월1일, 설, 추석 당일, 매주 월요일","화~일 하절기 09:00~18:00, 동절기 09:00~17:00",Y,없음,N,해당없음,해당없음,해당없음,Y,N,박물관,없음,2022.11.30,http://blogfiles.naver.net/MjAxNzEyMjRfNzIg/MDAxNTE0MDk2NTU4Nzk0.O2KKLs8ZOJe5M97KAHX01p0ehxYi75iwu8yIZThp3sMg.8MMXKz20LCW2yOloABEA4TqgrJLHl6uxVHi-rE2ilocg.JPEG.mungyeongsi/%BB%E7%C1%F8-2%29-%B7%CE%BA%F1%BF%A1-%C0%D6%B4%C2-%B9%DA%BF%AD-%C0%C7%BB%E7%C0%C7-%B5%BF%BB%F3%2C-%C7%D4%B2%B2-%BB%E7%C1%F8%C0%BB-%C2%EF%C0%B8%B8%E7-%C3%DF%BE%EF%C0%BB-%B3%B2%B1%E6-%BC%F6-%C0%D6%B4%D9.jpg#900x675,https://map.naver.com/p/entry/place/30982781
박을복자수박물관,반려동물업,반려동반여행,박물관,서울특별시,강북구,우이동,,86-4 번지,삼양로149가길,53 번,37.65381553,127.008489,1007,서울특별시 강북구 삼양로149가길 53,서울특별시 강북구 우이동 86-4,02-990-7000,www.embromuseum.com,"매주 토, 일",월~금 12:00~17:00,Y,6000원,N,해당없음,해당없음,해당없음,Y,N,박물관,없음,2022.11.30,http://blogfiles.naver.net/MjAxNzExMDFfMTc2/MDAxNTA5NTMxNzQxODgx.E70EsXQ_muKbrEOfV74YU4o_zO5tA0Zz27LeQzbyHNMg.FKM41xN91grmu8wA5EN9DON_UyRjX9mropg3G4GgU5Ig.JPEG.asdysh2263/%B2%D9%B9%CC%B1%E2_20170918_142621.jpg#740x555,https://map.naver.com/p/entry/place/11620646
박인환문학관,반려동물업,반려동반여행,박물관,강원도,인제군,인제읍,상동리,415-1 번지,인제로156번길,50 번,38.06277763,128.171723,24633,강원도 인제군 인제읍 인제로156번길 50,강원도 인제군 인제읍 상동리 415-1,033-462-2086,www.mvfm.kr,매주 월요일,화~일 09:00~18:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,박물관,없음,2022.11.30,http://blogfiles.naver.net/MjAxNzA5MDZfMjU1/MDAxNTA0NzA2NzEyOTE0.soTRP8JTuguhKmH8I3DgeZ-jsAEXnDWby81P6rmByxcg.5uYl4Xg9z3SgovITDCs-pdi64WdAgQRNGGOR1Qcm3UMg.JPEG.ph_factory/20170906_124040.jpg#600x600,https://map.naver.com/p/entry/place/20104134
박진전쟁기념관,반려동물업,반려동반여행,박물관,경상남도,창녕군,남지읍,월하리,624 번지,월상길,27 번,35.44796705,128.386194,50353,경상남도 창녕군 남지읍 월상길 27,경상남도 창녕군 남지읍 월하리 624,055-530-1511,https://www.cng.go.kr/tour/sites/00001311.web,"1월1일, 설, 추석 당일, 매주 월요일",화~일 09:00~18:00,Y,없음,Y,해당없음,모두 가능,야외만 반려동물 동반 가능,Y,Y,박물관,없음,2022.11.30,http://blogfiles.naver.net/MjAxNzA5MjVfMzAg/MDAxNTA2MzI1MDQzMjQ0.U_ky1IhqgaeFe_zqYAF8Yjx-wI--W8o9ut3HgVXXTwsg.56pKi6PZ983k-_8EsGfZyAU886pp125ODIzAXAun2NAg.JPEG.gndctour/%B9%DA%C1%F8%C0%FC%C0%EF%B1%E2%B3%E4%B0%FC-02.jpg#740x493,https://map.naver.com/p/entry/place/15714138
반디빌리지,반려동물업,반려동반여행,펜션,경기도,가평군,설악면,엄소리,62 번지,묵안로,287 번,37.64534721,127.507243,12470,경기도 가평군 설악면 묵안로 287,경기도 가평군 설악면 엄소리 62,0507-1427-5631,http://www.bandivillage.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,12kg 미만,최대 3마리,Y,Y,"애견 동반 펜션, 애견수영장","20,000원",2022.11.30,https://ldb-phinf.pstatic.net/20240327_35/1711500978836HNxut_JPEG/2_%287%29.jpg,https://map.naver.com/p/entry/place/1252469753
반려문화,반려동물업,반려동물식당카페,카페,서울특별시,강남구,논현동,,85-13 번지,언주로133길,23 번,37.51596415,127.03329,6053,서울특별시 강남구 언주로133길 23,서울특별시 강남구 논현동 85-13,0507-1389-6100,https://banstory.modoo.at/,연중무휴,매일 10:00~21:30,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,"애견카페, 유치원, 호텔, 운동장",없음,2022.11.30,https://ldb-phinf.pstatic.net/20231207_161/1701952720058IGxsU_JPEG/KakaoTalk_20230212_114854778_01.jpg,https://map.naver.com/p/entry/place/1150081648
반송저류공원,반려동물업,반려동반여행,여행지,충청북도,청주시 청원구,오창읍,송대리,346 번지,,,36.72535539,127.448355,29117,,충청북도 청주시 청원구 오창읍 송대리 346,,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022.11.30,,https://map.naver.com/p/entry/place/1158675906
반월호수공원,반려동물업,반려동반여행,여행지,경기도,군포시,둔대동,,354-3 번지,호수로,92 번,37.32458238,126.889964,15892,경기도 군포시 호수로 92,경기도 군포시 둔대동 354-3,031-390-3276,https://www.gunpo.go.kr/tour/index.do,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022.11.30,,https://map.naver.com/p/entry/place/258338594
반포 한강공원,반려동물업,반려동반여행,여행지,서울특별시,서초구,반포동,,115-5 번지,신반포로11길,40 번,37.50769397,126.992731,6500,서울특별시 서초구 신반포로11길 40,서울특별시 서초구 반포동 115-5,02-591-5943,http://hangang.seoul.go.kr/archives/46727,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022.11.30,https://ldb-phinf.pstatic.net/20191018_290/1571351835287QFoJR_JPEG/r_o9nf1Vp1P0AC4RZzDqG00i.jpg,https://map.naver.com/p/entry/place/13416963
발넷이야 애견카페,반려동물업,반려동물식당카페,카페,대구광역시,달성군,가창면,냉천리,2-29 번지,가창로176길,33 번,35.7896044,128.634189,42938,대구광역시 달성군 가창면 가창로176길 33,대구광역시 달성군 가창면 냉천리 2-29,053-761-7979,http://instagram.com/balnesia/,매주 월요일,화~일 11:00~21:00,Y,6000원,Y,해당없음,소형/중형,"5차 접종 필수, 전염질환, 공격성, 생리 중인 경우 입장 불가",Y,Y,"애견카페, 호텔, 유치원","6,000원",2022.11.30,https://ldb-phinf.pstatic.net/20210121_225/1611198008811y9Oyo_JPEG/uWiPTOvPGwd43Es6C-sfpawX.jpg,https://map.naver.com/p/entry/place/1790103907
발렌타인,반려동물업,반려동반여행,펜션,강원도,양양군,손양면,상왕도리,742 번지,남대천로,251-117 번,38.04593739,128.614927,25044,강원도 양양군 손양면 남대천로 251-117,강원도 양양군 손양면 상왕도리 742,,http://www.valentinepension.com,연중무휴,매일 15:00~11:00,Y,변동,Y,반려동물 전용,10kg 미만,제한사항 없음,Y,Y,"애견 동반 펜션, 애견수영장, 사전문의 필수, 추가인원 15,000원","10,000원",2022.11.30,https://ldb-phinf.pstatic.net/20210615_275/1623708769688KaFiU_JPEG/1APCweNqp_QtZK8_KQkQZQsG.jpg,https://map.naver.com/p/entry/place/1150221273
